               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.040308,            0.023309,                   0,             0.41789,             0.33214,             0.29393,            0.098432,            0.057636,            0.020679,                   0,           0.0075373,           0.0075373,           0.0075373
                  52,            0.039473,            0.023573,                   0,             0.39339,             0.33903,             0.27775,            0.096012,            0.058501,            0.021299,                   0,           0.0074881,           0.0074881,           0.0074881
                  53,            0.039079,            0.024016,                   0,             0.40599,             0.35077,              0.2833,            0.097976,            0.058378,            0.021122,                   0,           0.0074388,           0.0074388,           0.0074388
                  54,            0.038876,            0.023322,                   0,             0.42495,             0.31391,             0.28387,            0.096748,            0.058753,            0.020957,                   0,           0.0073896,           0.0073896,           0.0073896
                  55,             0.03833,             0.02334,                   0,             0.38963,             0.33214,             0.27404,            0.094409,            0.058731,            0.021211,                   0,           0.0073403,           0.0073403,           0.0073403
                  56,             0.03831,            0.023153,                   0,             0.40023,             0.33967,             0.27865,            0.095205,            0.057882,            0.021254,                   0,            0.007291,            0.007291,            0.007291
                  57,            0.038089,            0.023361,                   0,             0.38336,             0.36623,             0.30387,             0.10194,            0.057594,            0.021048,                   0,           0.0072418,           0.0072418,           0.0072418
                  58,            0.037441,             0.02299,                   0,             0.36255,             0.33809,             0.26309,            0.085003,            0.059545,            0.021553,                   0,           0.0071925,           0.0071925,           0.0071925
                  59,            0.037317,            0.022887,                   0,             0.41921,             0.33243,              0.2828,            0.097514,            0.058534,            0.021663,                   0,           0.0071433,           0.0071433,           0.0071433
                  60,             0.03651,            0.022155,                   0,             0.42103,             0.33031,             0.28485,            0.096062,            0.057607,            0.021509,                   0,            0.007094,            0.007094,            0.007094
                  61,            0.036743,            0.022469,                   0,              0.4012,             0.34721,             0.27471,            0.092362,            0.058994,            0.021695,                   0,           0.0070448,           0.0070448,           0.0070448
                  62,            0.036411,            0.022253,                   0,             0.42774,             0.31391,             0.25934,            0.087487,            0.059386,             0.02162,                   0,           0.0069955,           0.0069955,           0.0069955
                  63,             0.03634,             0.02241,                   0,             0.39745,               0.348,             0.27586,            0.093518,            0.058187,            0.021523,                   0,           0.0069463,           0.0069463,           0.0069463
